,Stadium,Team1,Team2,Won,Year
318,Other,Deccan Chargers,Mumbai Indians,MI   ,2012
319,Other,Pune Warriors India,Punjab Kings,PW   ,2012
320,Other,Rajasthan Royals,Kolkata Knight Riders,RR   ,2012
321,Other,Deccan Chargers,Chennai Super Kings,CSK   ,2012
322,Other,Royal Challengers Bangalore,Delhi Daredevils,RCB   ,2012
323,Other,Rajasthan Royals,Punjab Kings,RR   ,2012
324,Other,Mumbai Indians,Pune Warriors India,PW   ,2012
325,Other,Kolkata Knight Riders,Delhi Daredevils,DC   ,2012
326,Other,Chennai Super Kings,Mumbai Indians,MI   ,2012
327,Eden Gardens ,Chennai Super Kings,Mumbai Indians,MI   ,2013
328,Eden Gardens ,Rajasthan Royals,Mumbai Indians,MI   ,2013
329,Arun Jaitley Stadium ,Rajasthan Royals,Sunrisers Hyderabad,RR   ,2013
330,Arun Jaitley Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2013
331,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,SRH   ,2013
332,M. Chinnaswamy Stadium ,Pune Warriors India,Delhi Daredevils,PW   ,2013
333,HPCA Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2013
334,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2013
335,HPCA Stadium ,Sunrisers Hyderabad,Rajasthan Royals,SRH   ,2013
336,Wankhede Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2013
337,JSCA International Cricket Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2013
338,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Pune Warriors India,PW   ,2013
339,M. Chinnaswamy Stadium ,Chennai Super Kings,Delhi Daredevils,CSK   ,2013
340,Wankhede Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2013
341,Sawai Mansingh Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2013
342,JSCA International Cricket Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2013
343,IS Bindra Stadium ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2013
344,Arun Jaitley Stadium ,Punjab Kings,Sunrisers Hyderabad,SRH   ,2013
345,IS Bindra Stadium ,Pune Warriors India,Mumbai Indians,MI   ,2013
346,Rajiv Gandhi Intl. Cricket Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2013
347,Wankhede Stadium ,Pune Warriors India,Kolkata Knight Riders,KKR   ,2013
348,Sawai Mansingh Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2013
349,IS Bindra Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2013
350,Sawai Mansingh Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2013
351,Wankhede Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2013
352,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2013
353,Eden Gardens ,Rajasthan Royals,Pune Warriors India,RR   ,2013
354,M. A. Chidambaram Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2013
355,Shaheed Veer Narayan Singh International Cricket Stadium ,Sunrisers Hyderabad,Delhi Daredevils,SRH   ,2013
356,Rajiv Gandhi Intl. Cricket Stadium ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2013
357,Wankhede Stadium ,Pune Warriors India,Royal Challengers Bangalore,RCB   ,2013
358,Sawai Mansingh Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2013
359,Shaheed Veer Narayan Singh International Cricket Stadium ,Delhi Daredevils,Kolkata Knight Riders,DC   ,2013
360,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Mumbai Indians,SRH   ,2013
361,Wankhede Stadium ,Pune Warriors India,Chennai Super Kings,CSK   ,2013
362,Sawai Mansingh Stadium ,Mumbai Indians,Punjab Kings,MI   ,2013
363,Eden Gardens ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2013
364,M. A. Chidambaram Stadium ,Delhi Daredevils,Pune Warriors India,DC   ,2013
365,Eden Gardens ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2013
366,Arun Jaitley Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2013
367,M. Chinnaswamy Stadium ,Rajasthan Royals,Sunrisers Hyderabad,RR   ,2013
368,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Punjab Kings,KKR   ,2013
369,IS Bindra Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2013
370,Arun Jaitley Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2013
371,M. Chinnaswamy Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2013
372,Eden Gardens ,Royal Challengers Bangalore,Pune Warriors India,RCB   ,2013
373,Rajiv Gandhi Intl. Cricket Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2013
374,Arun Jaitley Stadium ,Punjab Kings,Pune Warriors India,PBKS   ,2013
375,Sawai Mansingh Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2013
376,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2013
377,IS Bindra Stadium ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2013
378,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2013
379,Sawai Mansingh Stadium ,Delhi Daredevils,Chennai Super Kings,CSK   ,2013
380,Eden Gardens ,Rajasthan Royals,Mumbai Indians,RR   ,2013
381,M. A. Chidambaram Stadium ,Pune Warriors India,Sunrisers Hyderabad,SRH   ,2013
382,Wankhede Stadium ,Royal Challengers Bangalore,Delhi Daredevils,Match Tied ,2013
383,Arun Jaitley Stadium ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2013
384,M. Chinnaswamy Stadium ,Chennai Super Kings,Pune Warriors India,PW   ,2013
385,IS Bindra Stadium ,Rajasthan Royals,Punjab Kings,RR   ,2013
386,Wankhede Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2013
387,M. Chinnaswamy Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2013
388,Sawai Mansingh Stadium ,Mumbai Indians,Pune Warriors India,MI   ,2013
389,Rajiv Gandhi Intl. Cricket Stadium ,Delhi Daredevils,Sunrisers Hyderabad,SRH   ,2013
390,M. A. Chidambaram Stadium ,Pune Warriors India,Rajasthan Royals,PW   ,2013
391,Arun Jaitley Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2013
392,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2013
393,M. Chinnaswamy Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2013
394,Eden Gardens ,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB   ,2013
395,Other,Rajasthan Royals,Kolkata Knight Riders,RR   ,2013
396,Other,Sunrisers Hyderabad,Royal Challengers Bangalore,Match Tied ,2013
397,Other,Pune Warriors India,Punjab Kings,PBKS   ,2013
398,Other,Chennai Super Kings,Mumbai Indians,MI   ,2013
399,Other,Delhi Daredevils,Rajasthan Royals,RR   ,2013
400,Other,Sunrisers Hyderabad,Pune Warriors India,SRH   ,2013
401,Other,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2013
402,Other,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2013
403,M. Chinnaswamy Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2014
404,Wankhede Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2014
405,Brabourne Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2014
406,Eden Gardens ,Punjab Kings,Kolkata Knight Riders,KKR   ,2014
407,Wankhede Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2014
408,IS Bindra Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2014
409,Eden Gardens ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2014
410,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2014
411,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2014
412,Wankhede Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2014
413,JSCA International Cricket Stadium ,Chennai Super Kings,Sunrisers Hyderabad,SRH   ,2014
414,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2014
415,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,MI   ,2014
416,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2014
417,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH   ,2014
418,Arun Jaitley Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2014
419,Narendra Modi Stadium ,Rajasthan Royals,Mumbai Indians,MI   ,2014
420,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2014
421,JSCA International Cricket Stadium ,Chennai Super Kings,Royal Challengers Bangalore,RCB   ,2014
422,Narendra Modi Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2014
423,Barabati Stadium ,Kolkata Knight Riders,Mumbai Indians,KKR   ,2014
424,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,PBKS   ,2014
425,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Daredevils,RCB   ,2014
426,JSCA International Cricket Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2014
427,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Mumbai Indians,MI   ,2014
428,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2014
429,Barabati Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2014
430,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,CSK   ,2014
431,Arun Jaitley Stadium ,Delhi Daredevils,Sunrisers Hyderabad,SRH   ,2014
432,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2014
433,Narendra Modi Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2014
434,Barabati Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2014
435,Arun Jaitley Stadium ,Delhi Daredevils,Kolkata Knight Riders,KKR   ,2014
436,Wankhede Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2014
437,Arun Jaitley Stadium ,Delhi Daredevils,Chennai Super Kings,CSK   ,2014
438,Narendra Modi Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2014
439,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB   ,2014
440,Arun Jaitley Stadium ,Delhi Daredevils,Rajasthan Royals,RR   ,2014
441,Wankhede Stadium ,Mumbai Indians,Punjab Kings,MI   ,2014
442,JSCA International Cricket Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2014
443,Dubai International Cricket Stadium ,Mumbai Indians,Sunrisers Hyderabad,SRH   ,2014
444,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Rajasthan Royals,Match Tied ,2014
445,Dubai International Cricket Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2014
446,Sharjah Cricket Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2014
447,Sharjah Cricket Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2014
448,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Punjab Kings,PBKS   ,2014
449,Sheikh Zayed Cricket Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2014
450,Dubai International Cricket Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2014
451,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Delhi Daredevils,SRH   ,2014
452,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2014
453,Dubai International Cricket Stadium ,Rajasthan Royals,Chennai Super Kings,CSK   ,2014
454,Sharjah Cricket Stadium ,Punjab Kings,Sunrisers Hyderabad,PBKS   ,2014
455,Sheikh Zayed Cricket Stadium ,Chennai Super Kings,Delhi Daredevils,CSK   ,2014
456,Sharjah Cricket Stadium ,Rajasthan Royals,Punjab Kings,PBKS   ,2014
457,Dubai International Cricket Stadium ,Kolkata Knight Riders,Delhi Daredevils,DC   ,2014
458,Dubai International Cricket Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2014
459,Sheikh Zayed Cricket Stadium ,Sunrisers Hyderabad,Rajasthan Royals,RR   ,2014
460,Sheikh Zayed Cricket Stadium ,Chennai Super Kings,Punjab Kings,PBKS   ,2014
461,Sharjah Cricket Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2014
462,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Kolkata Knight Riders,KKR   ,2014
463,Eden Gardens ,Mumbai Indians,Chennai Super Kings,MI   ,2015
464,JSCA International Cricket Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2015
465,Wankhede Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2015
466,Rajiv Gandhi Intl. Cricket Stadium ,Chennai Super Kings,Mumbai Indians,MI   ,2015
467,M. Chinnaswamy Stadium ,Sunrisers Hyderabad,Mumbai Indians,MI   ,2015
468,Brabourne Stadium ,Royal Challengers Bangalore,Delhi Daredevils,No Result,2015
469,IS Bindra Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2015
470,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2015
471,Wankhede Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,RCB   ,2015
472,IS Bindra Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2015
473,Shaheed Veer Narayan Singh International Cricket Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2015
474,Rajiv Gandhi Intl. Cricket Stadium ,Delhi Daredevils,Chennai Super Kings,DC   ,2015
475,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2015
476,Wankhede Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2015
477,Shaheed Veer Narayan Singh International Cricket Stadium ,Mumbai Indians,Royal Challengers Bangalore,RCB   ,2015
478,Eden Gardens ,Delhi Daredevils,Sunrisers Hyderabad,SRH   ,2015
479,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Punjab Kings,KKR   ,2015
480,Eden Gardens ,Chennai Super Kings,Mumbai Indians,MI   ,2015
481,Brabourne Stadium ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2015
482,M. Chinnaswamy Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2015
483,Wankhede Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2015
484,Eden Gardens ,Mumbai Indians,Delhi Daredevils,MI   ,2015
485,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2015
486,Brabourne Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2015
487,IS Bindra Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2015
488,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Mumbai Indians,MI   ,2015
489,M. Chinnaswamy Stadium ,Sunrisers Hyderabad,Chennai Super Kings,SRH   ,2015
490,Wankhede Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2015
491,Arun Jaitley Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2015
492,Eden Gardens ,Delhi Daredevils,Punjab Kings,DC   ,2015
493,M. Chinnaswamy Stadium ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2015
494,M. A. Chidambaram Stadium ,Royal Challengers Bangalore,Rajasthan Royals,No Result,2015
495,IS Bindra Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2015
496,Arun Jaitley Stadium ,Punjab Kings,Sunrisers Hyderabad,SRH   ,2015
497,Eden Gardens ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2015
498,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Rajasthan Royals,No Result,2015
499,Wankhede Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2015
500,Narendra Modi Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2015
501,Arun Jaitley Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2015
502,M. Chinnaswamy Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2015
503,ACA-VDCA Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2015
