,Stadium,Team1,Team2,Won,Year
677,Sawai Mansingh Stadium ,Delhi Daredevils,Kolkata Knight Riders,DC   ,2018
678,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2018
679,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2018
680,Eden Gardens ,Mumbai Indians,Sunrisers Hyderabad,SRH   ,2018
681,IS Bindra Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2018
682,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2018
683,Wankhede Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2018
684,Eden Gardens ,Royal Challengers Bangalore,Delhi Daredevils,RCB   ,2018
685,IS Bindra Stadium ,Kolkata Knight Riders,Punjab Kings,PBKS   ,2018
686,M. Chinnaswamy Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2018
687,Eden Gardens ,Punjab Kings,Sunrisers Hyderabad,PBKS   ,2018
688,Wankhede Stadium ,Rajasthan Royals,Kolkata Knight Riders,KKR   ,2018
689,M. Chinnaswamy Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2018
690,Rajiv Gandhi Intl. Cricket Stadium ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2018
691,Sawai Mansingh Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2018
692,M. A. Chidambaram Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2018
693,Rajiv Gandhi Intl. Cricket Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,SRH   ,2018
694,Eden Gardens ,Mumbai Indians,Delhi Daredevils,DC   ,2018
695,IS Bindra Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2018
696,Wankhede Stadium ,Sunrisers Hyderabad,Mumbai Indians,SRH   ,2018
697,Other,Rajasthan Royals,Delhi Daredevils,RR   ,2018
698,Other,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2018
699,Other,Sunrisers Hyderabad,Rajasthan Royals,SRH   ,2018
700,Other,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2018
701,Other,Punjab Kings,Delhi Daredevils,PBKS   ,2018
702,Other,Mumbai Indians,Chennai Super Kings,CSK   ,2018
703,Rajiv Gandhi Intl. Cricket Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2019
704,ACA-VDCA Stadium ,Chennai Super Kings,Delhi Capitals,CSK   ,2019
705,ACA-VDCA Stadium ,Delhi Capitals,Sunrisers Hyderabad,DC   ,2019
706,M. A. Chidambaram Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2019
707,Wankhede Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2019
708,IS Bindra Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2019
709,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB   ,2019
710,Arun Jaitley Stadium ,Delhi Capitals,Rajasthan Royals,DC   ,2019
711,IS Bindra Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2019
712,Wankhede Stadium ,Mumbai Indians,Sunrisers Hyderabad,Match Tied ,2019
713,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Capitals,CSK   ,2019
714,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,No Result,2019
715,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2019
716,Eden Gardens ,Kolkata Knight Riders,Mumbai Indians,KKR   ,2019
717,Arun Jaitley Stadium ,Delhi Capitals,Royal Challengers Bangalore,DC   ,2019
718,Sawai Mansingh Stadium ,Rajasthan Royals,Sunrisers Hyderabad,RR   ,2019
719,M. A. Chidambaram Stadium ,Chennai Super Kings,Mumbai Indians,MI   ,2019
720,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,RR   ,2019
721,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2019
722,M. A. Chidambaram Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2019
723,Sawai Mansingh Stadium ,Rajasthan Royals,Delhi Capitals,DC   ,2019
724,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2019
725,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,SRH   ,2019
726,Arun Jaitley Stadium ,Delhi Capitals,Punjab Kings,DC   ,2019
727,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2019
728,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,RCB   ,2019
729,Arun Jaitley Stadium ,Delhi Capitals,Mumbai Indians,MI   ,2019
730,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Chennai Super Kings,SRH   ,2019
731,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2019
732,Wankhede Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2019
733,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Delhi Capitals,DC   ,2019
734,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2019
735,IS Bindra Stadium ,Punjab Kings,Royal Challengers Bangalore,RCB   ,2019
736,Wankhede Stadium ,Mumbai Indians,Rajasthan Royals,RR   ,2019
737,Eden Gardens ,Kolkata Knight Riders,Delhi Capitals,DC   ,2019
738,Sawai Mansingh Stadium ,Rajasthan Royals,Chennai Super Kings,CSK   ,2019
739,Wankhede Stadium ,Mumbai Indians,Punjab Kings,MI   ,2019
740,M. A. Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2019
741,IS Bindra Stadium ,Punjab Kings,Sunrisers Hyderabad,PBKS   ,2019
742,Sawai Mansingh Stadium ,Rajasthan Royals,Kolkata Knight Riders,KKR   ,2019
743,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Capitals,DC   ,2019
744,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Mumbai Indians,MI   ,2019
745,M. A. Chidambaram Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2019
746,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2019
747,Arun Jaitley Stadium ,Delhi Capitals,Sunrisers Hyderabad,SRH   ,2019
748,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2019
749,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2019
750,IS Bindra Stadium ,Punjab Kings,Delhi Capitals,PBKS   ,2019
751,M. A. Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2019
752,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH   ,2019
753,Arun Jaitley Stadium ,Delhi Capitals,Kolkata Knight Riders,Match Tied ,2019
754,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2019
755,Rajiv Gandhi Intl. Cricket Stadium ,Sunrisers Hyderabad,Rajasthan Royals,SRH   ,2019
756,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2019
757,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,KKR   ,2019
758,Arun Jaitley Stadium ,Delhi Capitals,Chennai Super Kings,CSK   ,2019
759,Sawai Mansingh Stadium ,Rajasthan Royals,Punjab Kings,PBKS   ,2019
760,Wankhede Stadium ,Mumbai Indians,Delhi Capitals,DC   ,2019
761,Eden Gardens ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2019
762,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2019
763,Dubai International Cricket Stadium ,Mumbai Indians,Delhi Capitals,MI   ,2020
764,Sheikh Zayed Cricket Stadium ,Delhi Capitals,Sunrisers Hyderabad,DC   ,2020
765,Sheikh Zayed Cricket Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH   ,2020
766,Dubai International Cricket Stadium ,Mumbai Indians,Delhi Capitals,MI   ,2020
767,Sharjah Cricket Stadium ,Sunrisers Hyderabad,Mumbai Indians,SRH   ,2020
768,Sheikh Zayed Cricket Stadium ,Delhi Capitals,Royal Challengers Bangalore,DC   ,2020
769,Dubai International Cricket Stadium ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2020
770,Sheikh Zayed Cricket Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2020
771,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,SRH   ,2020
772,Dubai International Cricket Stadium ,Delhi Capitals,Mumbai Indians,MI   ,2020
773,Sheikh Zayed Cricket Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2020
774,Dubai International Cricket Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2020
775,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2020
776,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Delhi Capitals,SRH   ,2020
777,Sharjah Cricket Stadium ,Kolkata Knight Riders,Punjab Kings,PBKS   ,2020
778,Sheikh Zayed Cricket Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2020
779,Dubai International Cricket Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2020
780,Dubai International Cricket Stadium ,Punjab Kings,Sunrisers Hyderabad,PBKS   ,2020
781,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Delhi Capitals,KKR   ,2020
782,Sharjah Cricket Stadium ,Chennai Super Kings,Mumbai Indians,MI   ,2020
783,Dubai International Cricket Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2020
784,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Royal Challengers Bangalore,RCB   ,2020
785,Dubai International Cricket Stadium ,Punjab Kings,Delhi Capitals,PBKS   ,2020
786,Sheikh Zayed Cricket Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2020
787,Dubai International Cricket Stadium ,Mumbai Indians,Punjab Kings,Match Tied ,2020
788,Sheikh Zayed Cricket Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,Match Tied ,2020
789,Sharjah Cricket Stadium ,Delhi Capitals,Chennai Super Kings,DC   ,2020
790,Dubai International Cricket Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2020
791,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2020
792,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2020
793,Dubai International Cricket Stadium ,Delhi Capitals,Rajasthan Royals,DC   ,2020
794,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2020
795,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2020
796,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Delhi Capitals,MI   ,2020
797,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Rajasthan Royals,RR   ,2020
798,Dubai International Cricket Stadium ,Chennai Super Kings,Royal Challengers Bangalore,RCB   ,2020
799,Sheikh Zayed Cricket Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2020
800,Sharjah Cricket Stadium ,Rajasthan Royals,Delhi Capitals,DC   ,2020
801,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2020
802,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2020
